base,other,seeds,smoothing_days,period,start,end,base_sharpe,base_net_sharpe,base_mean,base_turnover,base_break_even_bps,base_net_exposure,base_max_drawdown,other_sharpe,other_net_sharpe,other_mean,other_turnover,other_break_even_bps,other_net_exposure,other_max_drawdown,corr_gross,delta_sharpe,delta_sharpe_lo,delta_sharpe_hi,p_delta_le_0,delta_net_sharpe,delta_net_sharpe_lo,delta_net_sharpe_hi,p_delta_net_le_0
full_paper__pca5,full_paper_costs__pca5,0 1,1,validation,2003-02-10,2005-12-30,4.447648364621252,-2.1986165599459357,0.08213693043045493,0.9300838438929937,3.504417394851043,0.56571597997273,-0.00902649631974406,3.6815853774622282,0.04678022882951501,0.055359007697196136,0.42203702501344464,5.205197386793311,0.8900738693776541,-0.00982787962837084,0.827598715235202,-0.7660629871590241,-1.3972029989224546,-0.05888834485076261,0.9845,2.2453967887754507,1.5113345541071261,3.098856329863038,0.0
full_paper__pca5,full_paper_costs__pca5,0 1,1,test,2006-01-03,2016-12-30,2.5259301926277584,-3.9547628441572646,0.059554895674986945,1.1040765551458305,2.1405123584025643,-0.07477720616020479,-0.03201093416865186,0.057038455214943586,-1.3633449002729772,0.0009676703270681657,0.17663335484722842,0.2173973097363789,0.8566179627438205,-0.06888210849195053,0.1763153426946827,-2.468891737412815,-3.365108938001336,-1.502069374213177,1.0,2.5914179438842875,1.529615474400043,3.75313071810477,0.0
full_paper__pca5,full_paper_costs__pca5,0 1,5,full,2003-02-10,2016-12-30,1.9308492163812458,-1.0616864201827365,0.041091847752025824,0.41038360823779835,3.973425951515514,0.052304115327690616,-0.035016988269126914,0.3720448311879724,-0.5033695601871654,0.005843754634133992,0.09746923757149983,2.3791611686090977,0.8866894278333168,-0.05791535002233128,0.15418951532268807,-1.5588043851932736,-2.321270224737545,-0.7523632083669038,1.0,0.5583168599955711,-0.25570686546027194,1.4059454499871873,0.089
full_paper__pca5,full_paper_costs__pca5,0 1,5,validation,2003-02-10,2005-12-30,3.19240808053003,0.325158300518438,0.052340304663164985,0.3515013026210261,5.908928932282198,0.7928765277073839,-0.012137556433549523,2.414558200171681,0.9341297082785608,0.03119666140296153,0.14569946787688257,8.496686859089047,0.949054884317227,-0.009895321682086622,0.8535365914785878,-0.7778498803583491,-1.4203055569985679,-0.017093117994487542,0.978,0.6089714077601227,-0.028078926827824438,1.396680236031883,0.031
full_paper__pca5,full_paper_costs__pca5,0 1,5,test,2006-01-03,2016-12-30,1.702880694359397,-1.3392430225195824,0.038126382405282745,0.42592479598939503,3.5521568525608584,-0.14293527110682588,-0.03501698826912658,-0.05142383027012928,-0.8056527600582106,-0.0008401102778357074,0.08478770030669197,-0.3931903957453328,0.870247830421524,-0.0579153500223305,0.04671359668340819,-1.7543045246295264,-2.6926267448812786,-0.7684536189531004,1.0,0.5335902624613718,-0.4252090014522697,1.5977932675205064,0.141
full_paper__pca5,full_paper_costs__pca5,0 1,20,full,2003-02-10,2016-12-30,1.077548834003515,-0.6208030871884503,0.021009959897797817,0.16230468920485988,5.136811335873375,-0.002954380591578343,-0.049655055533792236,0.10112832902400117,-0.3102530581112284,0.0014759681566757791,0.03967076070254371,1.4764063988240084,0.9229514226193039,-0.06102905668714809,0.0029493249946470172,-0.9764205049795139,-1.7745515293073024,-0.12915506512598451,0.988,0.31055002907722196,-0.5060057762526876,1.1968665092498336,0.2125
full_paper__pca5,full_paper_costs__pca5,0 1,20,validation,2003-02-10,2005-12-30,2.2116355982628355,0.9689581075906879,0.027646559385989204,0.11717604898936433,9.362712767519456,0.9506896975968618,-0.010334060884394036,1.819802954480278,1.2316078149614706,0.018834454080808027,0.045710299024482336,16.35077843311265,0.9876978955935904,-0.01132403919151348,0.8737051455757145,-0.39183264378255744,-0.9783180314758223,0.34606015059251194,0.853,0.26264970737078275,-0.30885209774323946,1.008141271487445,0.1695
full_paper__pca5,full_paper_costs__pca5,0 1,20,test,2006-01-03,2016-12-30,0.9190992841184817,-0.882858612817797,0.019260332730452304,0.17421344618381526,4.3871408012253434,-0.25436650665787,-0.04965505553379257,-0.19990151491039032,-0.5858124974701816,-0.0031003029609177717,0.038089786829467655,-3.22994444220244,0.9058821104953495,-0.06102905668714809,-0.08889739143490848,-1.1190007990288722,-2.033323428817443,-0.15672518825255316,0.9915,0.2970461153476154,-0.6430341567736629,1.3081277246815173,0.271
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,1,full,2003-02-10,2016-12-30,2.12286582167189,-3.070563630851854,0.05713658007663497,1.0271259350385447,2.2074455807900404,0.16647920330368618,-0.0379579332581379,1.9140381713621275,-2.6983836382190685,0.05128509388934259,0.8808359233101094,2.310444794007476,-1.2184957482372099e-18,-0.030357025512474878,0.84232070960606,-0.20882765030976258,-0.5249038206540736,0.10185538385204769,0.898,0.37217999263278534,0.0788556003236284,0.6896849963055333,0.0055
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,1,validation,2003-02-10,2005-12-30,2.664438249685199,-2.5898572324726428,0.0675889707737573,0.9786700350932185,2.7405580212498983,0.20468301126048866,-0.020550994097963238,2.6420366964088213,-2.669582393374025,0.0653787988623687,0.9431864379770786,2.7506722698612163,-1.977703579289997e-18,-0.01533664319089556,0.9249915965240825,-0.022401553276377495,-0.4433924684479775,0.4535072683032543,0.4495,-0.07972516090138226,-0.4230439002284208,0.33401997095425695,0.587
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,1,test,2006-01-03,2016-12-30,1.9915671232966299,-3.190663171293054,0.05438098411820257,1.0399079702222818,2.075160131511314,0.1564074157238863,-0.03795793325813712,1.7422268411686674,-2.7078783832144677,0.04756952703115948,0.8643923964126299,2.183822592526045,-1.018343448970856e-18,-0.030357025512475655,0.8239861950799907,-0.24934028212796244,-0.6280241089329097,0.10367578593363125,0.918,0.4827847880785865,0.11644417262073299,0.8641774220644053,0.002
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,5,full,2003-02-10,2016-12-30,1.4502954173432074,-0.8643863666740716,0.03958758363629817,0.4273109928772987,3.6763291484858924,0.2607084915736546,-0.0484106166806495,1.2801009405348553,-1.0130671815738577,0.034069986515751036,0.3840795389593649,3.5200614840300575,2.1702635084562654e-19,-0.0400224970111811,0.7914563588349017,-0.1701944768083521,-0.510522613507546,0.14444305122446344,0.848,-0.14868081489978602,-0.4714761195799478,0.1568558541992721,0.824
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,5,validation,2003-02-10,2005-12-30,2.7654928809094783,0.27949078684656853,0.06967214708070282,0.4288113181396082,6.447515782215442,0.32525095782176244,-0.036112347835187686,2.5854017158654927,-0.10742705328321973,0.0636339129253038,0.42524539355379515,5.93811317674909,2.916355323140461e-18,-0.03445006885048363,0.8908753296066066,-0.1800911650439856,-0.6269612500632241,0.2440045281246564,0.7815,-0.38691784012978825,-0.8083560454012463,0.0025276346586086823,0.974
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,5,test,2006-01-03,2016-12-30,1.138608114716595,-1.1392495348389071,0.0316562974989145,0.42692252764635186,2.9424595807311245,0.24369296237137267,-0.04841061668064939,0.9696989854515383,-1.231683551034296,0.02627595752370571,0.3732277843575488,2.793727505914418,-4.946060614964569e-19,-0.040022497011179436,0.7695584049459641,-0.16890912926505663,-0.582548437121446,0.2080152743696939,0.8225,-0.09243401619538893,-0.4955235113665942,0.2778124741178609,0.7055
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,20,full,2003-02-10,2016-12-30,0.4738655518354156,-0.6514290604472124,0.013481276877623861,0.19773268726222631,2.705527912833921,0.43885104736637864,-0.07355677602369037,0.2527036320304515,-1.0907968561206078,0.006762965493741054,0.18511423916284542,1.4497623078089568,-1.188625188240753e-19,-0.07693332461898994,0.6872012860636135,-0.22116191980496414,-0.6623493233049091,0.20485562705983515,0.8225,-0.43936779567339546,-0.8681872709434253,-0.013171361375181764,0.978
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,20,validation,2003-02-10,2005-12-30,1.4873048268908349,0.374537999071219,0.041130694432213344,0.19974534599848964,8.171256285435865,0.5661379596321766,-0.03459445701983477,1.145716492665642,-0.4159820201132368,0.028539586621193703,0.20768628631206615,5.453047953860016,-1.621847633361878e-19,-0.02931249222084209,0.7941475631804431,-0.34158833422519286,-1.0379170459846603,0.27248391351210255,0.8515,-0.7905200191844558,-1.4860726468452146,-0.1830310002904024,0.9935
full_paper__ff5,full_recipe__ff5_cw0.25,0 1,20,test,2006-01-03,2016-12-30,0.21621632023809112,-0.9131750828241335,0.00619197575272306,0.1971977849529828,1.2460247643214701,0.40529400657402315,-0.07355677602369004,0.03754554392051326,-1.25485105912188,0.0010219277822782762,0.1791571748642186,0.22635258567613573,-1.0744134204767874e-19,-0.07693332461899216,0.6621629335133316,-0.17867077631757786,-0.7006123012616433,0.32924664846852225,0.7495,-0.3416759762977465,-0.8596015003683126,0.17337844643313505,0.901
full_paper__ff5,full_recipe__ff5_cw0.5,0 1,1,full,2003-02-10,2016-12-30,2.12286582167189,-3.070563630851854,0.05713658007663497,1.0271259350385447,2.2074455807900404,0.16647920330368618,-0.0379579332581379,1.4117597205091483,-2.078785136811743,0.040553694524370874,0.6948398241697661,2.3160353454982094,1.9112200628438386e-19,-0.08053747030590286,0.612009124069313,-0.7111061011627418,-1.2755606283182281,-0.18170046208860777,0.994,0.9917784940401106,0.40056174495177177,1.5793292362207934,0.0
full_paper__ff5,full_recipe__ff5_cw0.5,0 1,1,validation,2003-02-10,2005-12-30,2.664438249685199,-2.5898572324726428,0.0675889707737573,0.9786700350932185,2.7405580212498983,0.20468301126048866,-0.020550994097963238,2.67409415218507,-2.2994752582367277,0.06951158782249875,0.926483100208879,2.977276478697516,1.1495513445257267e-18,-0.013912488469844497,0.8850840448304631,0.00965590249987125,-0.4983246480382826,0.6077563168399187,0.392,0.29038197423591505,-0.18950835897809468,0.8444457991941874,0.102
full_paper__ff5,full_recipe__ff5_cw0.5,0 1,1,test,2006-01-03,2016-12-30,1.9915671232966299,-3.190663171293054,0.05438098411820257,1.0399079702222818,2.075160131511314,0.1564074157238863,-0.03795793325813712,1.1202961195380157,-2.0299981081049485,0.03291943590839638,0.6337826703134164,2.0611589476180536,-6.155167263081304e-20,-0.08053747030590253,0.5529315495282329,-0.8712710037586142,-1.534303127296467,-0.237274624518087,0.9985,1.1606650631881057,0.46037411391082433,1.916454448041508,0.0005
full_paper__ff5,full_recipe__ff5_cw0.5,0 1,5,full,2003-02-10,2016-12-30,1.4502954173432074,-0.8643863666740716,0.03958758363629817,0.4273109928772987,3.6763291484858924,0.2607084915736546,-0.0484106166806495,1.0274746482319637,-0.800626896457582,0.030079176500885353,0.3243253062975112,3.6803113785378323,1.3887951234867194e-18,-0.08930891361182602,0.5373781359893046,-0.4228207691112438,-1.0042017449472638,0.11333175139933621,0.936,0.06375947021648964,-0.513770497625915,0.5857670489359615,0.427
full_paper__ff5,full_recipe__ff5_cw0.5,0 1,5,validation,2003-02-10,2005-12-30,2.7654928809094783,0.27949078684656853,0.06967214708070282,0.4288113181396082,6.447515782215442,0.32525095782176244,-0.036112347835187686,2.402103038668846,-0.06293253462918424,0.06304886674372318,0.41270512267419224,6.06229246752552,1.8321531506549566e-18,-0.04147688228394719,0.8707961046626215,-0.36338984224063253,-0.9230029867747644,0.17701895619180485,0.9075,-0.3424233214757528,-0.862482705453446,0.14877291006152468,0.913
full_paper__ff5,full_recipe__ff5_cw0.5,0 1,5,test,2006-01-03,2016-12-30,1.138608114716595,-1.1392495348389071,0.0316562974989145,0.42692252764635186,2.9424595807311245,0.24369296237137267,-0.04841061668064939,0.712950597377323,-0.9727354005810683,0.021387275497898144,0.30102545132811265,2.819367614606386,1.2719112810046632e-18,-0.0893089136118258,0.4670165821287784,-0.42565751733927193,-1.1327272254502114,0.26562651695347544,0.894,0.1665141342578388,-0.5251763819526164,0.8508893616053058,0.331
full_paper__ff5,full_recipe__ff5_cw0.5,0 1,20,full,2003-02-10,2016-12-30,0.4738655518354156,-0.6514290604472124,0.013481276877623861,0.19773268726222631,2.705527912833921,0.43885104736637864,-0.07355677602369037,0.38907920373249877,-0.6905866249141361,0.011584431226600663,0.1548258040167645,2.969141059971221,5.477095627566098e-19,-0.0915770554458254,0.44645051045473316,-0.08478634810291685,-0.7097930962139797,0.5044983377497267,0.603,-0.039157564466923755,-0.653709976442693,0.5190983620258828,0.557
full_paper__ff5,full_recipe__ff5_cw0.5,0 1,20,validation,2003-02-10,2005-12-30,1.4873048268908349,0.374537999071219,0.041130694432213344,0.19974534599848964,8.171256285435865,0.5661379596321766,-0.03459445701983477,1.0728853041772228,-0.3025050183127865,0.0287978220977609,0.19191268760508293,5.95463870797695,2.108996006752625e-19,-0.03387924680404031,0.7716023188728883,-0.41441952271361204,-1.1726414900858355,0.2509760330543237,0.879,-0.6770430173840054,-1.410803569124859,-0.02661150432048133,0.9785
full_paper__ff5,full_recipe__ff5_cw0.5,0 1,20,test,2006-01-03,2016-12-30,0.21621632023809112,-0.9131750828241335,0.00619197575272306,0.1971977849529828,1.2460247643214701,0.40529400657402315,-0.07355677602369004,0.23107748525923869,-0.7818386751067783,0.0070464119647924385,0.14504064799062527,1.927870057712867,6.365038106148198e-19,-0.09157705544582684,0.3735838328996757,0.014861165021147565,-0.715127851781055,0.7523003269334986,0.469,0.13133640771735522,-0.567509242008457,0.8401411584173992,0.3465
full_paper__pca5,full_recipe__pca5_cw0.25,0 1,1,full,2003-02-10,2016-12-30,2.8418439938307727,-3.6323027739944207,0.06426620901350985,1.0677731233974406,2.388378517442563,0.058849551735491806,-0.03201093416864975,2.7440484778258294,-2.5802024169568507,0.06781066546261304,0.9424174134361795,2.8553158979821767,-2.131840796427628e-20,-0.043299117632911055,0.9188182197413965,-0.0977955160049433,-0.29131433490755976,0.09894636815136981,0.8195,1.05210035703757,0.8046143709912841,1.3176462301463836,0.0
full_paper__pca5,full_recipe__pca5_cw0.25,0 1,1,validation,2003-02-10,2005-12-30,4.447648364621252,-2.1986165599459357,0.08213693043045493,0.9300838438929937,3.504417394851043,0.56571597997273,-0.00902649631974406,4.1666183390070195,-2.654223350237228,0.08410237009635525,0.9929133135955714,3.3612155190655724,1.1572744284941165e-18,-0.011129118340064692,0.935030642518731,-0.28103002561423285,-0.7036659201609421,0.13378426164711502,0.895,-0.45560679029129236,-0.8626150109116328,-0.016254471487318983,0.9775
full_paper__pca5,full_recipe__pca5_cw0.25,0 1,1,test,2006-01-03,2016-12-30,2.5259301926277584,-3.9547628441572646,0.059554895674986945,1.1040765551458305,2.1405123584025643,-0.07477720616020479,-0.03201093416865186,2.4650492149016743,-2.5778625574486833,0.06351563318286156,0.9291024042997761,2.7127920696105616,-3.3203446813568355e-19,-0.043299117632911166,0.9161537948553544,-0.06088097772608414,-0.2743176882398638,0.16307810456573138,0.68,1.3769002867085813,1.1223031018497907,1.687270626579299,0.0
full_paper__pca5,full_recipe__pca5_cw0.25,0 1,5,full,2003-02-10,2016-12-30,1.9308492163812458,-1.0616864201827365,0.041091847752025824,0.41038360823779835,3.973425951515514,0.052304115327690616,-0.035016988269126914,1.8252178197753677,-0.826048153857081,0.04333725117423646,0.3991976766122561,4.307971439233143,7.120596148532978e-20,-0.04691949873208423,0.8995857401059685,-0.10563139660587817,-0.3425888321332092,0.1362122532567385,0.8175,0.23563826632565554,-0.01409962309939917,0.5156936461559259,0.0315
full_paper__pca5,full_recipe__pca5_cw0.25,0 1,5,validation,2003-02-10,2005-12-30,3.19240808053003,0.325158300518438,0.052340304663164985,0.3515013026210261,5.908928932282198,0.7928765277073839,-0.012137556433549523,2.7675839595426224,-0.7928687335612387,0.055649719968863726,0.4675171552579232,4.723510562448458,-3.356571109338685e-18,-0.013400924484118226,0.8887154349128353,-0.42482412098740774,-1.0609690055557341,0.2318596185415318,0.9095,-1.1180270340796767,-1.706416352016315,-0.5360804711684807,1.0
full_paper__pca5,full_recipe__pca5_cw0.25,0 1,5,test,2006-01-03,2016-12-30,1.702880694359397,-1.3392430225195824,0.038126382405282745,0.42592479598939503,3.5521568525608584,-0.14293527110682588,-0.03501698826912658,1.6291454189880288,-0.8361577624499168,0.04009127709692412,0.38119349087163723,4.173533211924943,9.74881390052152e-19,-0.04691949873208445,0.9020036757610399,-0.07373527537136826,-0.3055095193913811,0.1967995929797406,0.6875,0.5030852600696656,0.2528239819445921,0.801762623803337,0.0
full_paper__pca5,full_recipe__pca5_cw0.25,0 1,20,full,2003-02-10,2016-12-30,1.077548834003515,-0.6208030871884503,0.021009959897797817,0.16230468920485988,5.136811335873375,-0.002954380591578343,-0.049655055533792236,0.8948624785034267,-0.6414173963261385,0.021405990122710872,0.1913627548640752,4.438920484249331,1.2809636413418334e-19,-0.055273100990205215,0.8399358922283908,-0.18268635550008838,-0.5245900410882368,0.15363906756883144,0.8455,-0.020614309137688136,-0.37641091074302474,0.3350739412018403,0.5135
full_paper__pca5,full_recipe__pca5_cw0.25,0 1,20,validation,2003-02-10,2005-12-30,2.2116355982628355,0.9689581075906879,0.027646559385989204,0.11717604898936433,9.362712767519456,0.9506896975968618,-0.010334060884394036,1.3471228029237932,-0.8534179195384867,0.026879027679097955,0.2474489332215099,4.3104978009707935,-9.57068328698163e-19,-0.014159050331590262,0.7576137136109117,-0.8645127953390424,-1.7834358502449361,-0.037392493454988254,0.983,-1.8223760271291747,-2.74241200386035,-1.0305083638781343,1.0
full_paper__pca5,full_recipe__pca5_cw0.25,0 1,20,test,2006-01-03,2016-12-30,0.9190992841184817,-0.882858612817797,0.019260332730452304,0.17421344618381526,4.3871408012253434,-0.25436650665787,-0.04965505553379257,0.8029882365681191,-0.5992306952432891,0.01996311637183959,0.17656870678043438,4.486566006273002,4.1418167499283733e-19,-0.055273100990205326,0.8544826426934273,-0.11611104755036261,-0.4793569840859163,0.25848113155254265,0.671,0.2836279175745079,-0.06764267288501113,0.6781931996894,0.051
full_paper__pca5,full_recipe__pca5_cw0.5,0 1,1,full,2003-02-10,2016-12-30,2.8418439938307727,-3.6323027739944207,0.06426620901350985,1.0677731233974406,2.388378517442563,0.058849551735491806,-0.03201093416864975,2.317010590471053,-2.2611020366241044,0.060089920216068904,0.8411785518116559,2.834737807281496,8.092318930160455e-19,-0.03818040558564806,0.787410706164626,-0.5248334033597195,-0.8866733758419926,-0.14074618556750046,0.9965,1.3712007373703163,0.9491572180784289,1.799307433628999,0.0
full_paper__pca5,full_recipe__pca5_cw0.5,0 1,1,validation,2003-02-10,2005-12-30,4.447648364621252,-2.1986165599459357,0.08213693043045493,0.9300838438929937,3.504417394851043,0.56571597997273,-0.00902649631974406,3.9709458347157156,-2.485078057407252,0.08209935699866407,0.959587167812233,3.3951172976168538,-8.055770662412844e-19,-0.011817087639452106,0.9151831621771938,-0.47670252990553674,-0.9107389223296424,-0.019248702634736468,0.9795,-0.2864614974613162,-0.7473341844926565,0.19326731366622352,0.8665
full_paper__pca5,full_recipe__pca5_cw0.5,0 1,1,test,2006-01-03,2016-12-30,2.5259301926277584,-3.9547628441572646,0.059554895674986945,1.1040765551458305,2.1405123584025643,-0.07477720616020479,-0.03201093416865186,2.0002912239100534,-2.229849828500477,0.05428750459624425,0.809953161192357,2.6597415241088216,1.2349489534197475e-18,-0.03818040558564806,0.7671813085102698,-0.525638968717705,-0.978300976180379,-0.08926696710007044,0.988,1.7249130156567878,1.2301355731342618,2.2164107224895337,0.0
full_paper__pca5,full_recipe__pca5_cw0.5,0 1,5,full,2003-02-10,2016-12-30,1.9308492163812458,-1.0616864201827365,0.041091847752025824,0.41038360823779835,3.973425951515514,0.052304115327690616,-0.035016988269126914,1.4668628191921451,-0.9161057577515294,0.03650745993227195,0.37026841981064246,3.9125905693280236,7.648598578345868e-19,-0.048617668482049625,0.6941499437042821,-0.46398639718910073,-0.8399429338787825,-0.0501524730793769,0.9885,0.14558066243120715,-0.25138671679543845,0.5844692188153279,0.23
full_paper__pca5,full_recipe__pca5_cw0.5,0 1,5,validation,2003-02-10,2005-12-30,3.19240808053003,0.325158300518438,0.052340304663164985,0.3515013026210261,5.908928932282198,0.7928765277073839,-0.012137556433549523,2.672189833649711,-0.7006186624123925,0.05556113177397898,0.4558991135741616,4.836172632893437,-1.1935135148073306e-18,-0.013376723276715463,0.863699983651709,-0.5202182468803191,-1.139455501082195,0.12728908685332752,0.9505,-1.0257769629308304,-1.6003727231062965,-0.44930783718334966,0.9995
full_paper__pca5,full_recipe__pca5_cw0.5,0 1,5,test,2006-01-03,2016-12-30,1.702880694359397,-1.3392430225195824,0.038126382405282745,0.42592479598939503,3.5521568525608584,-0.14293527110682588,-0.03501698826912658,1.2179232903771662,-0.9656983751735686,0.03148428172914949,0.3477009791919835,3.593249182089272,1.2811518629008922e-18,-0.04861766848204907,0.668107621488137,-0.48495740398223086,-0.9579848559117495,-0.013308965635127793,0.978,0.3735446473460138,-0.09456227374933729,0.8775050982656261,0.0595
full_paper__pca5,full_recipe__pca5_cw0.5,0 1,20,full,2003-02-10,2016-12-30,1.077548834003515,-0.6208030871884503,0.021009959897797817,0.16230468920485988,5.136811335873375,-0.002954380591578343,-0.049655055533792236,0.559544663259839,-0.8022170136257819,0.014418752203649087,0.1781747634402056,3.2113004975927986,6.215803252374741e-19,-0.07437384248969081,0.5046893619688266,-0.5180041707436761,-1.0207458488900034,0.011964274522164763,0.972,-0.18141392643733156,-0.6841429772131836,0.34804025917292136,0.734
full_paper__pca5,full_recipe__pca5_cw0.5,0 1,20,validation,2003-02-10,2005-12-30,2.2116355982628355,0.9689581075906879,0.027646559385989204,0.11717604898936433,9.362712767519456,0.9506896975968618,-0.010334060884394036,1.1276497256107283,-0.911630596836275,0.023461670825382183,0.23570649262162513,3.949906823489404,2.8040735639077156e-19,-0.01426285606934441,0.7081258366702615,-1.0839858726521072,-2.0208128006268686,-0.2295738282542065,0.995,-1.880588704426963,-2.820848499040937,-1.0689506985775603,1.0
full_paper__pca5,full_recipe__pca5_cw0.5,0 1,20,test,2006-01-03,2016-12-30,0.9190992841184817,-0.882858612817797,0.019260332730452304,0.17421344618381526,4.3871408012253434,-0.25436650665787,-0.04965505553379257,0.44700322558995514,-0.7844161830726732,0.012034739710378897,0.16299624918261682,2.9299388085371865,7.115248060096275e-19,-0.07437384248969336,0.48173597202524593,-0.4720960585285266,-1.0693216516249229,0.14802778699078098,0.9315,0.09844242974512374,-0.4899909834375132,0.7101259192637577,0.337
